Time[s], TX, RX, Dir, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 0, 0, 1, 1, 1, 1, 1
5.443050000000000, 0, 0, 0, 0, 0, 0, 0, 0
5.443130000000000, 0, 0, 0, 1, 1, 1, 1, 1
5.443290000000000, 0, 0, 1, 1, 1, 1, 1, 1
5.443500000000000, 0, 0, 0, 1, 1, 1, 1, 1
5.443520000000000, 0, 0, 1, 1, 1, 1, 1, 1
5.443530000000001, 0, 0, 0, 1, 1, 1, 1, 1
5.443540000000000, 0, 0, 1, 1, 1, 1, 1, 1
5.443550000000000, 0, 0, 0, 1, 1, 1, 1, 1
5.443620000000000, 0, 0, 1, 1, 1, 1, 1, 1
5.443630000000001, 0, 0, 0, 1, 1, 1, 1, 1
5.443830000000000, 0, 0, 1, 1, 1, 1, 1, 1
5.443840000000001, 0, 0, 0, 1, 1, 1, 1, 1
5.443890000000001, 0, 0, 1, 1, 1, 1, 1, 1
5.443910000000001, 0, 0, 0, 1, 1, 1, 1, 1
5.443950000000000, 0, 0, 1, 1, 1, 1, 1, 1
5.443960000000001, 0, 0, 0, 1, 1, 1, 1, 1
5.444070000000001, 0, 1, 1, 1, 1, 1, 1, 1
5.444080000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.447140000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.447340000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.447390000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.447450000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.447500000000001, 1, 0, 1, 1, 1, 1, 1, 1
5.447600000000000, 1, 0, 0, 1, 1, 1, 1, 1
5.447760000000001, 1, 0, 1, 1, 1, 1, 1, 1
5.447870000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.447980000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.448030000000000, 1, 0, 0, 1, 1, 1, 1, 1
5.448340000000001, 1, 0, 1, 1, 1, 1, 1, 1
5.449310000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.449360000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.449420000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.449780000000001, 1, 0, 1, 1, 1, 1, 1, 1
5.449860000000000, 1, 0, 0, 1, 1, 1, 1, 1
5.450270000000001, 1, 0, 1, 1, 1, 1, 1, 1
5.451460000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.451620000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.451820000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.451880000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.452660000000001, 1, 1, 1, 1, 1, 1, 1, 1
5.452680000000001, 0, 1, 0, 1, 1, 1, 1, 1
5.453140000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.453290000000001, 0, 1, 0, 1, 1, 1, 1, 1
5.453340000000001, 1, 1, 1, 1, 1, 1, 1, 1
5.453450000000000, 0, 1, 0, 1, 1, 1, 1, 1
5.453500000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.453550000000001, 0, 1, 0, 1, 1, 1, 1, 1
5.453750000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.453910000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.454130000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.454140000000001, 0, 1, 0, 1, 1, 1, 1, 1
5.454190000000001, 1, 1, 1, 1, 1, 1, 1, 1
5.454250000000000, 0, 1, 0, 1, 1, 1, 1, 1
5.454300000000001, 1, 1, 1, 1, 1, 1, 1, 1
